Trial,AUC,learning_rate,num_attn_heads,d,dropout,Best_Trial
0,0.9203711474418095,0.0019238815383906599,4,32,0.41220240743901715,1
1,0.9737574917892373,0.001384947582423943,8,64,0.2100761121621781,1
2,0.7599618675699404,0.0001005687235001976,4,32,0.20486489813188358,0
3,0.9238760971762827,0.0014848756328461638,16,32,0.39892634496707946,0
4,0.9169977127384041,0.0006747301858326541,8,64,0.4401384154382655,0
5,0.8494426349682636,0.0006231090871594255,16,32,0.4929170405975459,0
6,0.889463473963543,0.0003721380913102465,4,128,0.21188175724220998,0
7,0.8940206944052568,0.0003113261819791349,16,128,0.32926433315722076,0
8,0.978962074511617,0.0013030116629656782,16,128,0.2712880745166041,1
9,0.9722564043593418,0.0012691682330590185,8,64,0.26391832143075067,0
