Trial,AUC,learning_rate,num_attn_heads,d,dropout,Best_Trial
0,0.7832748911465072,0.0013386499466578037,4,128,0.4554382709942936,1
1,0.7760082579373266,0.00013019813898487468,4,128,0.42929010453706706,0
2,0.7631547713236442,0.00020475948411433767,8,64,0.4812418571831688,0
3,0.7700346377840604,0.0007030855851707908,8,32,0.31583814963675716,0
4,0.7742116621069176,0.000304469315562724,8,64,0.41853751997542166,0
5,0.7784443664178284,0.0003393886841510666,8,64,0.35542327435999543,0
6,0.7233842115263538,0.0002750461735261566,8,32,0.30916821154985963,0
7,0.7814118328541672,0.0006204157148198904,16,64,0.2687591347339421,0
8,0.785254341236097,0.0013854864126061274,8,128,0.4098232277089773,1
9,0.7754812129710403,0.0007922405570934836,4,32,0.23825852377824833,0
