Trial,AUC,learning_rate,num_attn_heads,d,dropout,Best_Trial
0,0.7997661457301404,0.00013953506210657464,8,32,0.3854943365923264,1
1,0.9766031582081953,0.0017493668308223415,16,128,0.4213182149180418,1
2,0.8184916793328408,0.00039776912455345264,16,32,0.438593167391291,0
3,0.8667453701020607,0.0007252878980828971,4,64,0.21521167932433422,0
4,0.8299634352256553,0.0002141470527068795,16,64,0.4997816741525418,0
5,0.9591054731218469,0.0018022416430364626,4,64,0.2750689703677638,0
6,0.8330858895498534,0.00010171061454419913,4,128,0.4831234947706322,0
7,0.806042495952672,0.00016975384989736914,16,32,0.23447916735279867,0
8,0.8497243352641497,0.0003645345248981564,16,64,0.3729954079475533,0
9,0.9064829911165785,0.0005213072330755538,4,128,0.21280891288741044,0
